Старых (купленные до рога) подарков открыто
Wave,Type,Count
1,средний ❄️,3
1,маленький ❄️,10
1,большой ❄️,25
1,маленький 🍯,1
1,большой 🍯,1
2,большой 🍯,12
2,маленький ❄️,15
2,средний 🍯,1
2,маленький 🍯,1
3,большой ❄️,33
3,маленький 🍯,5
3,большой 🍯,9
3,средний ❄️,6
3,маленький ❄️,27
3,средний 🍯,1

Новых подарков открыто
Wave,Type,Count
1,большой ❄️,60
1,средний 🍯,16
1,маленький ❄️,37
1,большой 🍯,17
1,маленький 🍯,3
1,средний ❄️,5
2,средний 🍯,20
2,большой 🍯,6
2,маленький 🍯,9
2,маленький ❄️,42
3,большой ❄️,856
3,средний ❄️,176
3,средний 🍯,30
3,маленький ❄️,342
3,большой 🍯,29
3,маленький 🍯,5

Новых подарков, НЕ открыто
Wave,Type,Count
1,маленький ❄️,17
1,большой 🍯,1
1,средний ❄️,2
1,средний 🍯,3
1,маленький 🍯,2
1,большой ❄️,14
2,маленький ❄️,7
2,маленький 🍯,2
3,большой 🍯,11
3,средний 🍯,1
3,большой ❄️,23
3,маленький ❄️,21
3,маленький 🍯,4
3,средний ❄️,8
