Старых (купленные до рога) подарков открыто
Wave,Type,Count
1,большой ❄️,25
1,маленький ❄️,23
1,средний 🍯,12
1,средний ❄️,9
1,маленький 🍯,8
1,большой 🍯,3
2,маленький ❄️,24
2,маленький 🍯,8
2,средний 🍯,2
3,большой ❄️,157
3,маленький ❄️,19
3,большой 🍯,12
3,маленький 🍯,9
3,средний ❄️,9
3,средний 🍯,1

Новых подарков открыто
Wave,Type,Count
1,большой ❄️,145
1,маленький ❄️,65
1,средний 🍯,22
1,средний ❄️,13
1,большой 🍯,10
1,маленький 🍯,10
2,маленький ❄️,70
2,большой 🍯,40
2,средний 🍯,27
2,маленький 🍯,8
3,большой ❄️,976
3,маленький ❄️,840
3,средний ❄️,333
3,маленький 🍯,54
3,большой 🍯,26
3,средний 🍯,19

Новых подарков, НЕ открыто
Wave,Type,Count
1,маленький ❄️,31
1,большой 🍯,23
1,большой ❄️,21
1,маленький 🍯,3
1,средний ❄️,3
1,средний 🍯,1
2,маленький ❄️,17
2,маленький 🍯,5
2,средний 🍯,3
2,большой 🍯,3
3,маленький ❄️,78
3,большой ❄️,31
3,средний ❄️,16
3,средний 🍯,11
3,маленький 🍯,4
3,большой 🍯,3
